广东酒店,#genre#

--- 端口 8086 ---


--- 端口 202 ---


--- 端口 8081 ---


--- 端口 8888 ---

广东组播,#genre#
广东珠江,http://119.146.89.48:58888/rtp/239.77.0.1:5146
广东珠江,http://119.146.89.48:58888/rtp/239.77.1.94:5146
广东珠江,http://119.146.89.48:58888/rtp/239.77.0.114:5146
广东新闻,http://119.146.89.48:58888/rtp/239.77.0.173:5146
广东民生,http://119.146.89.48:58888/rtp/239.77.0.225:5146
广东体育,http://119.146.89.48:58888/rtp/239.77.0.112:5146
广东体育,http://119.146.89.48:58888/rtp/239.77.0.168:5146
广东体育,http://119.146.89.48:58888/rtp/239.77.1.97:5146
广东影视,http://119.146.89.48:58888/rtp/239.77.0.217:5146
大湾区卫视,http://119.146.89.48:58888/rtp/239.77.0.215:5146
大湾区卫视,http://119.146.89.48:58888/rtp/239.77.1.12:5146
广东卫视,http://119.146.89.48:58888/rtp/239.77.0.84:5146
广东卫视,http://119.146.89.48:58888/rtp/239.77.0.166:5146
广东卫视,http://119.146.89.48:58888/rtp/239.77.1.19:5146
广东卫视,http://119.146.89.48:58888/rtp/239.77.1.152:5146
广东少儿,http://119.146.89.48:58888/rtp/239.77.0.250:5146

广东珠江,http://113.65.7.6:7088/rtp/239.77.0.1:5146
广东珠江,http://113.65.7.6:7088/rtp/239.77.1.94:5146
广东珠江,http://113.65.7.6:7088/rtp/239.77.0.114:5146
广东新闻,http://113.65.7.6:7088/rtp/239.77.0.173:5146
广东民生,http://113.65.7.6:7088/rtp/239.77.0.225:5146
广东体育,http://113.65.7.6:7088/rtp/239.77.0.112:5146
广东体育,http://113.65.7.6:7088/rtp/239.77.0.168:5146
广东体育,http://113.65.7.6:7088/rtp/239.77.1.97:5146
广东影视,http://113.65.7.6:7088/rtp/239.77.0.217:5146
大湾区卫视,http://113.65.7.6:7088/rtp/239.77.0.215:5146
大湾区卫视,http://113.65.7.6:7088/rtp/239.77.1.12:5146
广东卫视,http://113.65.7.6:7088/rtp/239.77.0.84:5146
广东卫视,http://113.65.7.6:7088/rtp/239.77.0.166:5146
广东卫视,http://113.65.7.6:7088/rtp/239.77.1.19:5146
广东卫视,http://113.65.7.6:7088/rtp/239.77.1.152:5146
广东少儿,http://113.65.7.6:7088/rtp/239.77.0.250:5146

广东珠江,http://61.145.188.90:60033/rtp/239.77.0.1:5146
广东珠江,http://61.145.188.90:60033/rtp/239.77.1.94:5146
广东珠江,http://61.145.188.90:60033/rtp/239.77.0.114:5146
广东新闻,http://61.145.188.90:60033/rtp/239.77.0.173:5146
广东民生,http://61.145.188.90:60033/rtp/239.77.0.225:5146
广东体育,http://61.145.188.90:60033/rtp/239.77.0.112:5146
广东体育,http://61.145.188.90:60033/rtp/239.77.0.168:5146
广东体育,http://61.145.188.90:60033/rtp/239.77.1.97:5146
广东影视,http://61.145.188.90:60033/rtp/239.77.0.217:5146
大湾区卫视,http://61.145.188.90:60033/rtp/239.77.0.215:5146
大湾区卫视,http://61.145.188.90:60033/rtp/239.77.1.12:5146
广东卫视,http://61.145.188.90:60033/rtp/239.77.0.84:5146
广东卫视,http://61.145.188.90:60033/rtp/239.77.0.166:5146
广东卫视,http://61.145.188.90:60033/rtp/239.77.1.19:5146
广东卫视,http://61.145.188.90:60033/rtp/239.77.1.152:5146
广东少儿,http://61.145.188.90:60033/rtp/239.77.0.250:5146

广东珠江,http://183.51.190.104:6633/rtp/239.77.0.1:5146
广东珠江,http://183.51.190.104:6633/rtp/239.77.1.94:5146
广东珠江,http://183.51.190.104:6633/rtp/239.77.0.114:5146
广东新闻,http://183.51.190.104:6633/rtp/239.77.0.173:5146
广东民生,http://183.51.190.104:6633/rtp/239.77.0.225:5146
广东体育,http://183.51.190.104:6633/rtp/239.77.0.112:5146
广东体育,http://183.51.190.104:6633/rtp/239.77.0.168:5146
广东体育,http://183.51.190.104:6633/rtp/239.77.1.97:5146
广东影视,http://183.51.190.104:6633/rtp/239.77.0.217:5146
大湾区卫视,http://183.51.190.104:6633/rtp/239.77.0.215:5146
大湾区卫视,http://183.51.190.104:6633/rtp/239.77.1.12:5146
广东卫视,http://183.51.190.104:6633/rtp/239.77.0.84:5146
广东卫视,http://183.51.190.104:6633/rtp/239.77.0.166:5146
广东卫视,http://183.51.190.104:6633/rtp/239.77.1.19:5146
广东卫视,http://183.51.190.104:6633/rtp/239.77.1.152:5146
广东少儿,http://183.51.190.104:6633/rtp/239.77.0.250:5146

广东珠江,http://113.110.77.43:8188/rtp/239.77.0.1:5146
广东珠江,http://113.110.77.43:8188/rtp/239.77.1.94:5146
广东珠江,http://113.110.77.43:8188/rtp/239.77.0.114:5146
广东新闻,http://113.110.77.43:8188/rtp/239.77.0.173:5146
广东民生,http://113.110.77.43:8188/rtp/239.77.0.225:5146
广东体育,http://113.110.77.43:8188/rtp/239.77.0.112:5146
广东体育,http://113.110.77.43:8188/rtp/239.77.0.168:5146
广东体育,http://113.110.77.43:8188/rtp/239.77.1.97:5146
广东影视,http://113.110.77.43:8188/rtp/239.77.0.217:5146
大湾区卫视,http://113.110.77.43:8188/rtp/239.77.0.215:5146
大湾区卫视,http://113.110.77.43:8188/rtp/239.77.1.12:5146
广东卫视,http://113.110.77.43:8188/rtp/239.77.0.84:5146
广东卫视,http://113.110.77.43:8188/rtp/239.77.0.166:5146
广东卫视,http://113.110.77.43:8188/rtp/239.77.1.19:5146
广东卫视,http://113.110.77.43:8188/rtp/239.77.1.152:5146
广东少儿,http://113.110.77.43:8188/rtp/239.77.0.250:5146

广东珠江,http://183.236.43.98:4014/rtp/239.77.0.1:5146
广东珠江,http://183.236.43.98:4014/rtp/239.77.1.94:5146
广东珠江,http://183.236.43.98:4014/rtp/239.77.0.114:5146
广东新闻,http://183.236.43.98:4014/rtp/239.77.0.173:5146
广东民生,http://183.236.43.98:4014/rtp/239.77.0.225:5146
广东体育,http://183.236.43.98:4014/rtp/239.77.0.112:5146
广东体育,http://183.236.43.98:4014/rtp/239.77.0.168:5146
广东体育,http://183.236.43.98:4014/rtp/239.77.1.97:5146
广东影视,http://183.236.43.98:4014/rtp/239.77.0.217:5146
大湾区卫视,http://183.236.43.98:4014/rtp/239.77.0.215:5146
大湾区卫视,http://183.236.43.98:4014/rtp/239.77.1.12:5146
广东卫视,http://183.236.43.98:4014/rtp/239.77.0.84:5146
广东卫视,http://183.236.43.98:4014/rtp/239.77.0.166:5146
广东卫视,http://183.236.43.98:4014/rtp/239.77.1.19:5146
广东卫视,http://183.236.43.98:4014/rtp/239.77.1.152:5146
广东少儿,http://183.236.43.98:4014/rtp/239.77.0.250:5146

广东珠江,http://43.139.120.220:11068/rtp/239.77.0.1:5146
广东珠江,http://43.139.120.220:11068/rtp/239.77.1.94:5146
广东珠江,http://43.139.120.220:11068/rtp/239.77.0.114:5146
广东新闻,http://43.139.120.220:11068/rtp/239.77.0.173:5146
